model,training accuracy,validation accuracy,validation balanced accuracy
NB,0.9427555555555556,0.8858666666666667,0.804539777946215
Linear SVC,0.9793333333333333,0.9184,0.8917935260901597
Random Forest,0.9855555555555555,0.91,0.8548888029662158
Logistic Regression,0.9676888888888889,0.9033333333333333,0.8708887034481828
Boost,0.7372444444444445,0.7210666666666666,0.6586057854978316
Perceptron,0.9857777777777778,0.9190666666666667,0.8770201516560687
